anonUserID,lesson,condition,preTest,postTest,sessionTime,totalUniqueSteps,learningGain
1,Independent and mutually exclusive events,ChatGPT,0.333,0.333,1318,11,0
2,Solve linear equations using a general strategy,Human tutor,0.666,0.333,163,11,-0.333
3,Solve Equations Using the Subtraction and Addition Properties of Equality,Human tutor,0.666,1,381,11,0.333
4,Solve Equations Using the Subtraction and Addition Properties of Equality,ChatGPT,0.666,1,283,11,0.333
5,Independent and mutually exclusive events,ChatGPT,0.333,0.666,796,11,0.333
6,Solve linear equations using a general strategy,No-hint control,0.333,0.333,138,11,0
7,Find a linear equation,No-hint control,0,0,1131,11,0
8,Solve Equations Using the Subtraction and Addition Properties of Equality,Human tutor,0.333,0.666,1765,11,0.333
9,Solve linear equations using a general strategy,Human tutor,0.333,1,664,11,0.667
10,Solve linear equations using a general strategy,No-hint control,0.666,1,316,11,0.333
11,Independent and mutually exclusive events,No-hint control,0.666,0,207,11,-0.666
12,Independent and mutually exclusive events,ChatGPT,0.333,1,586,11,0.667
13,Solve Equations Using the Subtraction and Addition Properties of Equality,ChatGPT,0.666,1,238,11,0.333
14,Solve Equations Using the Subtraction and Addition Properties of Equality,No-hint control,1,1,174,11,0
15,Find a linear equation,No-hint control,0,0,339,11,0
16,Solve linear equations using a general strategy,Human tutor,1,0.666,489,11,-0.333
17,Find a linear equation,No-hint control,0,0,280,11,0
18,Independent and mutually exclusive events,Human tutor,0.333,0.666,734,11,0.333
19,Solve linear equations using a general strategy,ChatGPT,0,1,566,11,1
20,Solve linear equations using a general strategy,ChatGPT,0.666,0.333,99,11,-0.333
21,Find a linear equation,No-hint control,0,0,434,11,0
22,Find a linear equation,Human tutor,0,0,686,11,0
23,Solve linear equations using a general strategy,ChatGPT,1,1,772,11,0
24,Solve linear equations using a general strategy,ChatGPT,0.333,0.333,187,11,0
25,Solve Equations Using the Subtraction and Addition Properties of Equality,Human tutor,1,1,529,11,0
26,Solve linear equations using a general strategy,ChatGPT,1,1,423,11,0
27,Solve Equations Using the Subtraction and Addition Properties of Equality,ChatGPT,0.666,1,149,11,0.333
28,Find a linear equation,ChatGPT,0,0,580,11,0
29,Find a linear equation,Human tutor,0,0.333,1298,11,0.333
30,Solve linear equations using a general strategy,Human tutor,0.666,0.333,404,11,-0.333
31,Independent and mutually exclusive events,ChatGPT,0.333,0.333,761,11,0
32,Solve linear equations using a general strategy,ChatGPT,1,0.666,379,11,-0.333
33,Find a linear equation,No-hint control,0.333,0.666,1283,11,0.333
34,Find a linear equation,ChatGPT,0,0.666,957,11,0.666
35,Solve Equations Using the Subtraction and Addition Properties of Equality,ChatGPT,0.666,0.666,802,11,0
36,Solve linear equations using a general strategy,ChatGPT,1,1,283,11,0
37,Solve Equations Using the Subtraction and Addition Properties of Equality,Human tutor,0.333,1,623,11,0.667
38,Find a linear equation,Human tutor,0,0,1329,11,0
39,Independent and mutually exclusive events,Human tutor,0.333,1,431,11,0.667
40,Solve linear equations using a general strategy,No-hint control,0.333,0,218,11,-0.333
41,Solve linear equations using a general strategy,ChatGPT,1,1,465,11,0
42,Independent and mutually exclusive events,Human tutor,1,0.666,498,11,-0.333
43,Independent and mutually exclusive events,ChatGPT,0.666,0.666,366,11,0
44,Find a linear equation,Human tutor,0.666,0.666,746,11,0
45,Solve Equations Using the Subtraction and Addition Properties of Equality,ChatGPT,0.666,0.666,192,11,0
46,Solve linear equations using a general strategy,No-hint control,1,1,499,11,0
47,Solve Equations Using the Subtraction and Addition Properties of Equality,Human tutor,1,1,209,11,0
48,Find a linear equation,ChatGPT,0,0,757,11,0
49,Solve Equations Using the Subtraction and Addition Properties of Equality,No-hint control,0.666,0.666,168,11,0
50,Solve Equations Using the Subtraction and Addition Properties of Equality,Human tutor,0.666,1,470,11,0.333
51,Solve Equations Using the Subtraction and Addition Properties of Equality,Human tutor,0.666,0.666,369,11,0
52,Solve linear equations using a general strategy,No-hint control,0.666,0.666,451,11,0
53,Solve Equations Using the Subtraction and Addition Properties of Equality,Human tutor,1,1,315,11,0
54,Independent and mutually exclusive events,No-hint control,0.333,0.333,320,11,0
55,Solve linear equations using a general strategy,No-hint control,0.333,0.333,552,11,0
56,Solve Equations Using the Subtraction and Addition Properties of Equality,No-hint control,1,1,214,11,0
57,Find a linear equation,No-hint control,0.333,0.333,556,11,0
58,Find a linear equation,ChatGPT,0,0,508,11,0
59,Solve linear equations using a general strategy,No-hint control,0.666,1,616,11,0.333
60,Solve Equations Using the Subtraction and Addition Properties of Equality,ChatGPT,1,1,180,11,0
61,Solve Equations Using the Subtraction and Addition Properties of Equality,ChatGPT,1,1,340,11,0
62,Solve linear equations using a general strategy,Human tutor,1,1,365,11,0
63,Independent and mutually exclusive events,ChatGPT,0.666,0.666,601,11,0
64,Solve linear equations using a general strategy,Human tutor,0.666,1,270,11,0.333
65,Independent and mutually exclusive events,No-hint control,0.333,0.666,378,11,0.333
66,Find a linear equation,ChatGPT,0,0,860,11,0
67,Solve Equations Using the Subtraction and Addition Properties of Equality,Human tutor,1,1,463,11,0
68,Solve linear equations using a general strategy,No-hint control,0.666,1,465,11,0.333
69,Independent and mutually exclusive events,Human tutor,0.666,0.333,207,11,-0.333
70,Solve Equations Using the Subtraction and Addition Properties of Equality,Human tutor,0.666,1,349,11,0.333
71,Solve linear equations using a general strategy,No-hint control,0.666,0.666,304,11,0
72,Solve Equations Using the Subtraction and Addition Properties of Equality,ChatGPT,0,1,721,11,1
73,Solve Equations Using the Subtraction and Addition Properties of Equality,ChatGPT,0.666,1,568,11,0.333
74,Solve Equations Using the Subtraction and Addition Properties of Equality,Human tutor,1,1,472,11,0
75,Independent and mutually exclusive events,No-hint control,0.666,0.666,986,11,0
76,Find a linear equation,ChatGPT,1,1,414,11,0
77,Solve Equations Using the Subtraction and Addition Properties of Equality,ChatGPT,0.666,1,536,11,0.333
78,Independent and mutually exclusive events,ChatGPT,0.333,0.333,269,11,0
79,Solve Equations Using the Subtraction and Addition Properties of Equality,ChatGPT,0.666,0.666,1170,11,0
80,Solve Equations Using the Subtraction and Addition Properties of Equality,Human tutor,0.666,1,312,11,0.333
81,Solve Equations Using the Subtraction and Addition Properties of Equality,Human tutor,0.666,0.666,518,11,0
82,Solve Equations Using the Subtraction and Addition Properties of Equality,Human tutor,1,1,337,11,0
83,Find a linear equation,No-hint control,1,0.666,1028,11,-0.333
84,Find a linear equation,Human tutor,0,0,982,11,0
85,Find a linear equation,ChatGPT,1,1,1062,11,0
86,Solve linear equations using a general strategy,ChatGPT,0.666,0.666,437,11,0
87,Solve linear equations using a general strategy,ChatGPT,0.666,1,803,11,0.333
88,Solve linear equations using a general strategy,Human tutor,1,1,167,11,0
89,Find a linear equation,No-hint control,0,0,389,11,0
90,Independent and mutually exclusive events,ChatGPT,0.333,1,350,11,0.667
91,Solve Equations Using the Subtraction and Addition Properties of Equality,Human tutor,0.666,0.666,478,11,0
92,Independent and mutually exclusive events,ChatGPT,0,0.333,558,11,0.333
93,Solve linear equations using a general strategy,No-hint control,0.666,1,417,11,0.333
94,Find a linear equation,No-hint control,0.666,0.666,646,11,0
95,Independent and mutually exclusive events,Human tutor,0.333,0,550,11,-0.333
96,Independent and mutually exclusive events,Human tutor,0.666,0.333,581,11,-0.333
97,Find a linear equation,ChatGPT,0,0,590,11,0
98,Independent and mutually exclusive events,No-hint control,0.666,0.666,274,11,0
99,Solve linear equations using a general strategy,Human tutor,0.666,0.666,575,11,0
100,Solve Equations Using the Subtraction and Addition Properties of Equality,No-hint control,0.333,1,696,11,0.667
101,Solve linear equations using a general strategy,No-hint control,0.666,0.333,221,11,-0.333
102,Independent and mutually exclusive events,No-hint control,0.666,0.333,220,11,-0.333
103,Solve linear equations using a general strategy,No-hint control,1,0,403,11,-1
104,Find a linear equation,ChatGPT,0,0,1493,11,0
105,Solve linear equations using a general strategy,No-hint control,0.666,0.666,429,11,0
106,Solve Equations Using the Subtraction and Addition Properties of Equality,No-hint control,0.666,0.666,343,11,0
107,Independent and mutually exclusive events,No-hint control,0,0.666,423,11,0.666
108,Solve Equations Using the Subtraction and Addition Properties of Equality,Human tutor,0.333,0.333,407,11,0
109,Solve linear equations using a general strategy,ChatGPT,0.333,1,390,11,0.667
110,Independent and mutually exclusive events,No-hint control,0.666,0.333,372,11,-0.333
111,Independent and mutually exclusive events,ChatGPT,0.666,0.666,415,11,0
112,Solve linear equations using a general strategy,No-hint control,0.666,0.333,205,11,-0.333
113,Solve linear equations using a general strategy,Human tutor,0.666,0.666,489,11,0
114,Independent and mutually exclusive events,No-hint control,0.666,0.333,881,11,-0.333
115,Solve Equations Using the Subtraction and Addition Properties of Equality,No-hint control,0.666,0.666,300,11,0
116,Solve Equations Using the Subtraction and Addition Properties of Equality,No-hint control,0.333,0.333,497,11,0
117,Find a linear equation,No-hint control,0,0,136,11,0
118,Find a linear equation,No-hint control,0.666,0.333,236,11,-0.333
119,Solve linear equations using a general strategy,Human tutor,0.666,0.333,1233,11,-0.333
120,Find a linear equation,ChatGPT,0.333,0,312,11,-0.333
121,Find a linear equation,ChatGPT,0,0,367,11,0
122,Solve Equations Using the Subtraction and Addition Properties of Equality,No-hint control,1,1,336,11,0
123,Find a linear equation,ChatGPT,0.333,0,1138,11,-0.333
124,Solve linear equations using a general strategy,Human tutor,0.666,0,688,11,-0.666
125,Find a linear equation,Human tutor,0.666,0.666,680,11,0
126,Solve Equations Using the Subtraction and Addition Properties of Equality,Human tutor,0.666,0.666,473,11,0
127,Independent and mutually exclusive events,ChatGPT,0.333,1,319,11,0.667
128,Solve Equations Using the Subtraction and Addition Properties of Equality,ChatGPT,0.333,0.666,167,11,0.333
129,Find a linear equation,No-hint control,0,0,270,11,0
130,Solve linear equations using a general strategy,No-hint control,0.333,1,936,11,0.667
131,Solve Equations Using the Subtraction and Addition Properties of Equality,ChatGPT,0.666,0.666,96,11,0
132,Find a linear equation,Human tutor,0.666,0.666,844,11,0
133,Find a linear equation,Human tutor,0,0,478,11,0
134,Solve Equations Using the Subtraction and Addition Properties of Equality,No-hint control,0.333,0.666,206,11,0.333
135,Independent and mutually exclusive events,No-hint control,1,0.666,315,11,-0.333
136,Find a linear equation,ChatGPT,0,0,327,11,0
137,Solve Equations Using the Subtraction and Addition Properties of Equality,ChatGPT,0.333,0.666,257,11,0.333
138,Find a linear equation,Human tutor,0,0,695,11,0
139,Independent and mutually exclusive events,Human tutor,0,0,290,11,0
