species,prior,delta,posterior
acanthis_flammea,0.804730676923583,0.05401907526969851,0.8587497521932815
acrocephalus_dumetorum,0.831896544796121,0.029937267175177307,0.8618338119712983
acrocephalus_schoenobaenus,0.5906952737476412,0.266279973117413,0.8569752468650542
actitis_hypoleucos,0.5887205917774245,0.20562059338857652,0.794341185166001
aegithalos_caudatus,0.6196231704409888,0.06783794772444018,0.687461118165429
alauda_arvensis,0.8170864991290518,0.05170638509463199,0.8687928842236838
anthus_trivialis,0.7726427642376894,0.05212495922059179,0.8247677234582812
apus_apus,0.8881839642961589,0.026268732887812063,0.9144526971839709
bombycilla_garrulus,0.7097129607684323,0.04383673643185171,0.753549697200284
branta_canadensis,0.5284478784099146,0.2333854557769709,0.7618333341868855
branta_leucopsis,0.6583527265179295,0.15313207861989475,0.8114848051378243
bucephala_clangula,0.6736808186399427,0.05608064251126654,0.7297614611512092
buteo_buteo,0.546391968839966,0.014064915218619412,0.5604568840585854
carduelis_carduelis,0.6954361472706336,0.040894329738693114,0.7363304770093267
carpodacus_erythrinus,0.819896679081944,0.06863477000519225,0.8885314490871362
certhia_familiaris,0.6588801680527351,0.01955383048197601,0.6784339985347111
chloris_chloris,0.7078772392197651,0.014091283802956767,0.7219685230227219
chroicocephalus_ridibundus,0.6112845596157734,0.18369591390872542,0.7949804735244989
columba_palumbus,0.709748664735502,0.024436375678592137,0.7341850404140942
corvus_corax,0.7017472183083745,0.038005732160868,0.7397529504692425
corvus_cornix,0.6732941209659197,0.026904010629153374,0.700198131595073
corvus_monedula,0.7299015750952894,0.04002632761510905,0.7699279027103985
crex_crex,0.7560407644511168,0.07369485116424934,0.8297356156153661
cuculus_canorus,0.8420883148979594,0.031605490566581906,0.8736938054645413
cyanistes_caeruleus,0.7089712118744925,0.011534833539166178,0.7205060454136587
cygnus_cygnus,0.6394858578068056,0.03922740776115152,0.6787132655679571
delichon_urbicum,0.7376914926500673,0.12754914993532007,0.8652406425853874
dendrocopos_major,0.6626611938694907,0.011177379801776022,0.6738385736712668
dryocopus_martius,0.577042159470544,0.04507025710537704,0.6221124165759211
emberiza_citrinella,0.6666524869405706,0.07140629096834439,0.7380587779089149
emberiza_schoeniclus,0.7206731486068229,0.0827366731526018,0.8034098217594247
erithacus_rubecula,0.6273701619420203,0.08065698581893799,0.7080271477609583
falco_subbuteo,0.4707067449384883,0.19930295202128345,0.6700096969597718
