species,prior,delta,posterior
acrocephalus_schoenobaenus,0.45880718119090214,0.2375214299983902,0.6963286111892923
haematopus_ostralegus,0.6194097323129582,0.23256927818179451,0.8519790104947527
larus_argentatus,0.47028022743095843,0.20911174286377354,0.679391970294732
branta_leucopsis,0.5758419874438254,0.2047424951530411,0.7805844825968665
turdus_iliacus,0.5456812540222488,0.1792728478601454,0.7249541018823942
corvus_corax,0.5518142681426814,0.16984678685170695,0.7216610549943884
sylvia_borin,0.6682144321443214,0.15388025207157496,0.8220946842158964
numenius_arquata,0.6088260135135135,0.1521955672039753,0.7610215807174888
phasianus_colchicus,0.6699894594187622,0.1461574671179695,0.8161469265367317
sterna_hirundo,0.5516016762554159,0.1425355582552037,0.6941372345106196
prunella_modularis,0.5327141757865937,0.1414810198558667,0.6741951956424604
emberiza_citrinella,0.5207225214610335,0.13541291002804323,0.6561354314890767
sylvia_communis,0.5717114863456326,0.1302827308497071,0.7019942171953397
gallinago_gallinago,0.661009269572769,0.11887570148203896,0.7798849710548079
phylloscopus_trochilus,0.5688169059896108,0.11752883646934542,0.6863457424589562
carpodacus_erythrinus,0.7010869565217391,0.11339172646686368,0.8144786829886028
cuculus_canorus,0.6315224709644841,0.11267690963315546,0.7441993805976396
hippolais_icterina,0.7096187175043327,0.11266342227133597,0.8222821397756687
grus_grus,0.5673046600198918,0.10290314013141122,0.670207800151303
chroicocephalus_ridibundus,0.48768757633920784,0.10161431126699699,0.5893018876062048
periparus_ater,0.5736493898258604,0.09720072279443848,0.6708501126202989
tringa_nebularia,0.7946654040404041,0.09120501893939392,0.885870422979798
dryocopus_martius,0.5097330367074527,0.09089294379025559,0.6006259804977083
turdus_pilaris,0.5705232909860859,0.08889776164549301,0.6594210526315789
phylloscopus_collybita,0.5605222249584436,0.08700539892818371,0.6475276238866273
phoenicurus_phoenicurus,0.5994967727819713,0.07871390542870693,0.6782106782106783
sylvia_curruca,0.47099757428744693,0.07688256820050443,0.5478801424879514
muscicapa_striata,0.5936507936507937,0.07567536965034771,0.6693261633011414
phylloscopus_sibilatrix,0.7307163187855787,0.07539793994907662,0.8061142587346554
sylvia_atricapilla,0.62697590516686,0.07344969220776831,0.7004255973746283
larus_canus,0.5845023980815348,0.06510283020253349,0.6496052282840683
tringa_glareola,0.7431276432141484,0.06199538638985014,0.8051230296039985
carduelis_carduelis,0.6306081081081081,0.05851628802715758,0.6891243961352657
anthus_trivialis,0.5535455191920738,0.0562777649725652,0.609823284164639
pyrrhula_pyrrhula,0.5818322981366459,0.05580778945835596,0.6376400875950019
corvus_cornix,0.5261690422605652,0.05357883556667664,0.5797478778272418
picus_canus,0.5697035944887895,0.05077833322205394,0.6204819277108434
spinus_spinus,0.5294761152303391,0.05002892878907139,0.5795050440194105
erithacus_rubecula,0.5011031907671419,0.04948413192789347,0.5505873226950354
fringilla_montifringilla,0.6611324495105935,0.04739621238594405,0.7085286618965375
turdus_philomelos,0.5133381841701027,0.047358221478164375,0.5606964056482671
vanellus_vanellus,0.6450112513059552,0.04370120019598478,0.6887124515019399
tringa_ochropus,0.5148697084180955,0.041234783170266964,0.5561044915883625
gavia_arctica,0.6902255639097744,0.034426976532239695,0.7246525404420141
lophophanes_cristatus,0.5797987616099071,0.03273655819487076,0.6125353198047778
cygnus_cygnus,0.5580676817879642,0.03222299342113,0.5902906752090942
emberiza_schoeniclus,0.693839971134585,0.02983007900605339,0.7236700501406383
saxicola_rubetra,0.6279895561357702,0.028859878154917307,0.6568494342906875
cyanistes_caeruleus,0.5637092731829574,0.02591499927713603,0.5896242724600934
columba_palumbus,0.5569823411292227,0.02158323623832059,0.5785655773675433
parus_major,0.5302845404437936,0.016420924997446407,0.54670546544124
sturnus_vulgaris,0.6826750448833034,0.015247207127420448,0.6979222520107239
garrulus_glandarius,0.5052420598211532,0.014645503017021722,0.5198875628381749
dendrocopos_major,0.5784984984984985,0.013581751928365415,0.592080250426864
apus_apus,0.9443252566044086,0.013426973575262235,0.9577522301796708
turdus_merula,0.6626262477980035,0.005964111893273616,0.6685903596912771
motacilla_alba,0.6186852596894286,0.005251751930595461,0.623937011620024
ficedula_hypoleuca,0.5758216241962372,0.002160811262916451,0.5779824354591536
acanthis_flammea,0.8098530682800346,0.0006410088688972859,0.8104940771489318
actitis_hypoleucos,0.5736408199643493,-0.0050812167604886715,0.5685596032038607
fringilla_coelebs,0.5106132638662759,-0.012877912169614314,0.4977353516966616
pica_pica,0.7431519138755981,-0.019339618434089156,0.7238122954415089
poecile_montanus,0.7457172692123162,-0.022945548407550476,0.7227717208047657
hirundo_rustica,0.5672655724123647,-0.02435247067027635,0.5429131017420884
passer_montanus,0.7259118969001579,-0.04491602823305629,0.6809958686671016
certhia_familiaris,0.5554288321167883,-0.049321330777679306,0.506107501339109
troglodytes_troglodytes,0.7780262419746931,-0.04944860964068243,0.7285776323340106
chloris_chloris,0.670148333900034,-0.058118373856040684,0.6120299600439933
alauda_arvensis,0.7342627877435945,-0.058763342682551234,0.6754994450610433
passer_domesticus,0.8202936444086887,-0.06537774532979401,0.7549158990788947
corvus_monedula,0.7571872736054093,-0.07850399107597295,0.6786832825294363
regulus_regulus,0.6733084095658743,-0.1061956964182017,0.5671127131476726
linaria_cannabina,0.7119239267676768,-0.13997059919637167,0.5719533275713051
