subject,condition,n,pre,post,gain,minutes
all,No-hint control,90,55.15222222222223,57.01111111111111,1.8533333333333335,6.792777777777777
all,Human tutor,86,53.455813953488374,65.09186046511628,11.62325581395349,9.898643410852713
all,ChatGPT,98,43.50816326530612,60.52142857142857,17.001020408163267,9.580102040816326
elementary,No-hint control,25,61.304,83.97200000000001,22.656000000000002,5.485333333333333
elementary,Human tutor,26,62.78846153846154,83.31153846153846,20.500000000000004,8.244871794871795
elementary,ChatGPT,26,52.52692307692308,82.03076923076924,29.473076923076924,7.512820512820513
intermediate,No-hint control,25,67.956,63.980000000000004,-3.9960000000000004,6.6386666666666665
intermediate,Human tutor,23,72.42173913043479,78.23913043478261,5.8,8.302173913043479
intermediate,ChatGPT,21,69.8047619047619,79.34285714285714,9.528571428571428,8.006349206349206
college,No-hint control,18,33.31666666666667,25.90555555555556,-7.405555555555556,7.983333333333333
college,Human tutor,16,24.981250000000003,31.231250000000003,6.25,14.19375
college,ChatGPT,28,19.039285714285715,28.560714285714287,9.517857142857144,13.49702380952381
statistics,No-hint control,22,51.477272727272734,43.904545454545456,-7.563636363636365,7.4795454545454545
statistics,Human tutor,21,42.82380952380953,53.93333333333334,11.104761904761906,10.422222222222222
statistics,ChatGPT,23,39.09130434782609,57.9304347826087,18.834782608695654,8.585507246376812
